,Country name,Ladder score,Logged GDP per capita,Healthy life expectancy
0,Finland,7.804,10.792,71.15
1,Denmark,7.586,10.962,71.25
2,Iceland,7.53,10.896,72.05
3,Israel,7.473,10.639,72.697
4,Netherlands,7.403,10.942,71.55
5,Sweden,7.395,10.883,72.15
6,Norway,7.315,11.088,71.5
7,Switzerland,7.24,11.164,72.9
8,Luxembourg,7.228,11.66,71.675
9,New Zealand,7.123,10.662,70.35
10,Austria,7.097,10.899,71.15
11,Australia,7.095,10.821,71.05
12,Canada,6.961,10.773,71.4
13,Ireland,6.911,11.527,71.3
14,United States,6.894,11.048,65.85
15,Germany,6.892,10.879,71.3
16,Belgium,6.859,10.844,70.899
17,Czechia,6.845,10.611,69.05
18,United Kingdom,6.796,10.704,70.3
19,Lithuania,6.763,10.568,67.397
20,France,6.661,10.701,72.3
21,Slovenia,6.65,10.588,71.052
22,Costa Rica,6.609,9.952,70.0
23,Romania,6.589,10.339,67.051
24,Singapore,6.587,11.571,73.8
25,United Arab Emirates,6.571,11.145,66.243
26,Taiwan Province of China,6.535,10.797,69.6
27,Uruguay,6.494,10.037,67.5
28,Slovakia,6.469,10.353,68.838
29,Saudi Arabia,6.463,10.715,64.399
30,Estonia,6.455,10.541,69.65
31,Spain,6.436,10.54,72.35
32,Italy,6.405,10.634,72.05
33,Kosovo,6.368,9.359,65.195
34,Chile,6.334,10.114,70.3
35,Mexico,6.33,9.85,65.8
36,Malta,6.3,10.661,71.6
37,Panama,6.265,10.305,68.95
38,Poland,6.26,10.453,69.049
39,Nicaragua,6.259,8.618,65.65
40,Latvia,6.213,10.37,66.4
41,Bahrain,6.173,10.776,65.825
42,Guatemala,6.15,9.116,62.9
43,Kazakhstan,6.144,10.166,65.802
44,Serbia,6.144,9.854,67.088
45,Cyprus,6.13,10.611,72.802
46,Japan,6.129,10.616,74.349
47,Croatia,6.125,10.341,68.95
48,Brazil,6.125,9.582,65.749
49,El Salvador,6.122,9.089,65.597
50,Hungary,6.041,10.419,67.5
51,Argentina,6.024,9.959,67.2
52,Honduras,6.023,8.635,64.063
53,Uzbekistan,6.014,8.948,65.301
54,Malaysia,6.012,10.169,65.662
55,Portugal,5.968,10.429,71.25
56,South Korea,5.951,10.693,73.65
57,Greece,5.931,10.288,71.15
58,Mauritius,5.902,9.957,63.85
59,Thailand,5.843,9.751,68.45
60,Mongolia,5.84,9.372,60.5
61,Kyrgyzstan,5.825,8.486,66.852
62,Moldova,5.819,9.499,65.299
63,China,5.818,9.738,68.689
64,Vietnam,5.763,9.287,65.502
65,Paraguay,5.738,9.51,65.9
66,Montenegro,5.722,9.813,67.1
67,Jamaica,5.703,9.165,66.6
68,Bolivia,5.684,8.985,63.599
69,Russia,5.661,10.21,64.947
70,Bosnia and Herzegovina,5.633,9.616,67.275
71,Colombia,5.63,9.584,69.35
72,Dominican Republic,5.569,9.811,64.399
73,Ecuador,5.559,9.27,69.0
74,Peru,5.526,9.402,69.85
75,Philippines,5.523,8.979,62.038
76,Bulgaria,5.466,10.087,66.5
77,Nepal,5.36,8.256,61.847
78,Armenia,5.342,9.615,67.789
79,Tajikistan,5.33,8.237,62.226
80,Algeria,5.329,9.3,66.549
81,Hong Kong S.A.R. of China,5.308,10.966,77.28
82,Albania,5.277,9.567,69.15
83,Indonesia,5.277,9.385,63.048
84,South Africa,5.275,9.478,56.989
85,Congo (Brazzaville),5.267,8.095,56.85
86,North Macedonia,5.254,9.703,66.5
87,Venezuela,5.211,5.527,64.05
88,Laos,5.111,8.962,60.946
89,Georgia,5.109,9.646,64.95
90,Guinea,5.072,7.88,54.185
91,Ukraine,5.071,9.314,64.55
92,Ivory Coast,5.053,8.576,55.953
93,Gabon,5.035,9.537,58.252
94,Nigeria,4.981,8.496,54.891
95,Cameroon,4.973,8.217,55.847
96,Mozambique,4.954,7.116,51.53
97,Iraq,4.941,9.098,63.415
98,State of Palestine,4.908,8.716,
99,Morocco,4.903,8.973,63.901
100,Iran,4.876,9.61,66.6
101,Senegal,4.855,8.155,59.999
102,Mauritania,4.724,8.591,60.475
103,Burkina Faso,4.638,7.667,55.461
104,Namibia,4.631,9.121,56.851
105,Turkiye,4.614,10.307,68.663
106,Ghana,4.605,8.596,58.763
107,Pakistan,4.555,8.54,57.313
108,Niger,4.501,7.091,56.55
109,Tunisia,4.497,9.244,67.0
110,Kenya,4.487,8.458,58.499
111,Sri Lanka,4.442,9.491,67.15
112,Uganda,4.432,7.716,58.913
113,Chad,4.397,7.261,53.125
114,Cambodia,4.393,8.385,61.9
115,Benin,4.374,8.103,56.095
116,Myanmar,4.372,8.404,61.388
117,Bangladesh,4.282,8.685,64.548
118,Gambia,4.279,7.648,57.9
119,Mali,4.198,7.655,55.403
120,Egypt,4.17,9.367,63.503
121,Togo,4.137,7.673,57.449
122,Jordan,4.12,9.13,67.6
123,Ethiopia,4.091,7.739,60.698
124,Liberia,4.042,7.277,56.7
125,India,4.036,8.759,60.777
126,Madagascar,4.019,7.29,58.05
127,Zambia,3.982,8.074,55.032
128,Tanzania,3.694,7.857,59.401
129,Comoros,3.545,8.075,59.425
130,Malawi,3.495,7.302,58.475
131,Botswana,3.435,9.629,54.725
132,Congo (Kinshasa),3.207,7.007,55.375
133,Zimbabwe,3.204,7.641,54.05
134,Sierra Leone,3.138,7.394,54.9
135,Lebanon,2.392,9.478,66.149
136,Afghanistan,1.859,7.324,54.712
